ID;Country;Latitude;Longitude;Page;Battle;Year;Participants;War;Winner;Loser;Participant 1;Participant 2;Lehmann Zhukov Scale;Theatre;Polygon;Massacre;Alternative Sources Consulted;Infered Scale;Minor
Koniggratz1866;Czechia;50.221713;15.6221089;540;Koniggratz;1866;['Prague', 'Prussian'];Seven Years War;Prussia ;Habsburg Empire;;;4;Land;KONIG1866;No;"Encyclopedia of Warfare, Showalter, 2014, p698-699; Battles Map by Map, p187";;
Konigsberg1807;Russia;54.7104264;20.4522144;540;Konigsberg;1807;['Russia', 'Friedland', 'Kaliningrad', 'Prussian', 'Baltic', 'France', 'Russia'];Napoleonic Wars (4th Coalition);France;Russia;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p151;;
Konigsberg1945;Russia;54.7104264;20.4522144;540;Konigsberg;1945;['Germans'];World War II;USSR;Germany;;;4;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p86;;
Konigshofen1525;Germany;49.5449016;9.7240134;540;Konigshofen;1525;['German', 'Franconia'];German Peasant's War;Georg Truchsess von Waldburg ;Rebel Peasants;;;2;Land;;No;;;
Konigswartha1813;Germany;51.3107087;14.3310113;541;Konigswartha;1813;['Italian', 'Konigswartha', 'Italian', 'Russians', 'Greece', 'Florina', 'Communist', 'Albanian', 'Grevena', 'Vaphiadis', 'Florina', 'US'];Napoleonic Wars (War of Liberation);France, Italian allies;Russia;;;2;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p133;;
Konitsa1947;Greece;40.0480719;20.7528378;541;Konitsa;1947;[];Greek Civil War;Greek Government;Greek Communists;;;2;Land;;No;;;
Konotop1659;Ukraine;51.2409432;33.2050521;541;Konotop;1659;['Russo', 'Poland', 'Prince Aleksei', 'Russians', 'Ukraine', 'Polish', 'Russians', 'Russian', 'Liubar'];Russo-Polish Wars;Poland, Cossacks, Tatar Khanate;Russia;;;4;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p374;;
Kontum1972;Vietnam;14.3497403;108.0004606;541;Kontum;1972;['North'];Vietnam War;South Vietnam, United States;North Vietnam;;;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p696;1;
Konya1832;Turkey;37.8746429;32.4931554;541;Konya;1832;['Egyptian', 'Syria', 'Anatolia', 'Turkish', 'Egyptian', 'Konya', 'Ottoman', 'Ibrahim', 'Anatolia', 'Syria'];1st Turko-Egyptian War;Egypt;Ottoman Empire;;;3;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p594;;
Koppal1677;India;15.3507081;76.1554311;541;Koppal;1677;['Bijapur', 'India', 'Koppal', 'Mysore', 'Pathan', 'Bijapur'];Bijapur-Maratha Wars;Marathas;Bijapur;;;;Land;;No;;;
Koppal1790-1791;India;15.3507081;76.1554311;541;Koppal;1790-1791;['Hyderabad', 'British', 'Koppal', 'Mysore', 'Mysorean', 'Hyderabad'];3rd British-Mysore War;Hyderabad;Mysore;;;;Land;;No;;;
Koppam1054;India;10.8652234;76.1865534;541;Koppam;1054;['Indian'];Later Indian Dynastic Wars;Chalukya;Cholya;;;;Land;;No;;;
Koprukoy1916;Turkey;39.9204322;41.9299215;542;Koprukoy;1916;['Turks', 'Russian', 'Turkish'];World War I;Russia;Ottoman Empire;;;4;Land;;No;Clodfelter, Warfare and Armed Conflict, p413;1;
Kora1765;India;26.2519592;80.244829;542;Kora;1765;['Britains', 'Buxar', 'Bengal', 'Shujah-ud-', 'Cawnpore', 'British', 'Nawab'];Bengal War;United Kingdom;Marathas, Bengal, Oudh;;;;Land;;No;;;
Korbach1760;Germany;51.2774069;8.8709876;542;Korbach;1760;['Hesse', 'Kassel', 'Korbach', 'French'];Seven Years War;France;Brunswick, United Kingdom;;;2;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p446;;
Koregaon1818;India;18.6485712;74.0623244;542;Koregaon;1818;['Kirkee', 'British', 'Poona', 'Bhima'];3rd British-Maratha War;United Kingdom;Marathas;;;3;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p134;;
Koromogawa1189;Japan;37.0574131;136.2720229;542;Koromogawa;1189;['Japan'];Gempei War;Fujiwara Clan;Minamoto Clan;;;;Land;;No;;;
Kororareka1845;New Zealand;-35.2623103;174.1223544;542;Kororareka;1845;['New Zealands', 'Maori', 'Europeans'];1st New Zealand War;Massacre;;Maoris;United Kingdom;1;Land;;Yes;Clodfelter, Warfare and Armed Conflict, p236;;1
Korsun1648;Ukraine;49.4261119;31.2618527;543;Korsun;1648;['Cossack-Polish', 'Polish', 'Ukraine', 'Zolte', 'Korsun', 'Kiev', 'Poles'];Cossack Polish Wars;Cossacks, Crimean Tatars;Poland;;;2;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p384;;
Korsun1944;Ukraine;49.4261119;31.2618527;543;Korsun;1944;['Zhitomir', 'Kirovograd', 'Germans', 'Russians', 'Kamenets'];World War II;USSR;Germany;;;5;Land;;No;Clodfelter, Warfare and Armed Conflict, p466;1;
Kos1943;Greece;36.8915064;27.2877228;543;Kos;1943;['British', 'German', 'Italian', 'Italian', 'Germans'];World War II;Germany;United Kingdom, Italy;;;;Land and Air;;Battle followed by massacre;;;
Kose Dagh1243;Turkey;40.0772213;37.9631896;543;Kose Dagh;1243;['Asia Minor', 'Mongol', 'Seljuk', 'Sultans', 'Armenians', 'Greeks'];Mongol Conquest of Asia Minor;Mongols;Seljuks;;;;Land;;No;;;
Kossovo1389;Kosovo;42.6377229;21.0734013;543;Kossovo;1389;['Bulgaria', 'Serbia', 'Bosnia', 'Albania', 'Kossovo'];Ottoman Conquest of the Balkans;Ottoman Empire;Serbia, Bosnia, Albania;;;3;Land;;Battle followed by massacre;Battles Map by Map, p85;;
Kossovo1448;Kosovo;42.6377229;21.0734013;543;Kossovo;1448;['Christian', 'Hungarian', 'Serbia', 'Sultan', 'Albania', 'Hunyadi', 'Kossovo'];Turkish-Hungarian Wars;Turkey;Hungary, Wallachia;;;3;Land;;No;Hutchinson's Dictionary of Ancient and Medieval Warfare, 'Kossovo, Battle of';;
Kossovo1915;Kosovo;42.6026359;20.902977;543;Kossovo;1915;['Serbia', 'Bulgarians', 'Skopje', 'Austro-German', 'Serbians', 'Albania'];World War I;Germany, Austria-Hungary, Bulgaria;Serbia;;;;Land and Air;;No;;;
Kossovo1999;Kosovo;42.6026359;20.902977;543;Kossovo;1999;['Serbia', 'Yugoslav', 'Serb', 'Muslim'];Kossovo War;NATO, Kosovar Albanian Rebels;Serbia;;;3;Land and Air;;No;Encyclopedia of Warfare, Showalter, 2014, p916;;
Kosturino1915;Macedonia (FYROM);41.3580763;22.6109257;544;Kosturino;1915;['Anglo', 'French', 'Vardar', 'Serbia', 'British', 'Kosturino', 'Bulgarian', 'British'];World War I;Bulgaria;United Kingdom;;;;Land;;No;;;
Kota Bharu1941;United States;6.1026541;102.2216247;544;Kota Bharu;1941;['Japanese', 'Patani', 'Thailand', 'Malaya', 'Indian', 'Japanese', 'British', 'Kuala Lipis'];World War II;Japan;United Kingdom;;;;Land;;No;;;
Kotah-ki-Serai1858;India;25.2138156;75.8647527;544;Kotah-ki-Serai;1858;['Indian', 'Gwalior'];Indian Mutiny;United Kingdom;Jhansi, Indian Rebels;;;;Land;;No;;;
Kotah1858;India;25.2138156;75.8647527;544;Kotah;1858;['Indian', 'Nasirabad', 'Kotahs'];Indian Mutiny;United Kingdom;Kotah Rebels;;;1;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p134;;
Kotelnikovo1942;Russia;47.630995;43.1423502;544;Kotelnikovo;1942;['German', 'Romanian', 'Stalingrad'];World War II;USSR;Germany;;;;Land;;No;;;
Kotlin Island1705;Russia;60.0125003;29.7336138;544;Kotlin Island;1705;['Narva', 'Swedish', 'Saint Petersburg', 'Kotlin Island', 'Russian', 'Russian'];2nd Great Northern War;Russia;Sweden;;;;Sea;;No;;;
Koto-ri1950;North Korea;40.288611;127.2930893;545;Koto-ri;1950;['Chinese', 'Hungnam'];Korean War;United States;China;;;4;Land and Sea;;No;Clodfelter, Warfare and Armed Conflict, p658;1;
Kouno1899;Chad;9.8430553;17.6529119;545;Kouno;1899;['French', 'French', 'Muslim', 'Gentil', 'French'];French Conquest of Chad;France;Chari;;;;Land;;No;;;
Kousseri1900;Cameroon;12.076892;15.030627;545;Kousseri;1900;['French', 'Chad', 'Muslim', 'Congo', 'Fernand', 'Algeria', 'Cameroun', 'France'];French Conquest of Chad;France;Chari;;;2;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p727;;
Kovno1812;Lithuania;54.8985207;23.9035965;545;Kovno;1812;['Napoleonic', 'Russian', 'Moscow', 'Marshal Joachim', 'Kovno'];Napoleonic Wars (Russian Campaign);Russia;France;;;;Land;;No;;;
Kovno1915;Lithuania;54.8985207;23.9035965;545;Kovno;1915;['Vilna', 'Dvinsk'];World War I (Eastern Front);Germany;Russia;;;;Land;;No;;;
Kowloon1839;Hong Kong;22.3185673;114.1796057;545;Kowloon;1839;['British', 'Macao', 'British', 'British', 'Hong Kong', 'Volage', 'China'];1st Opium War;United Kingdom;China;;;1;Sea;;No;Clodfelter, Warfare and Armed Conflict, p226;1;
Kowloon1941;Hong Kong;22.3185673;114.1796057;545;Kowloon;1941;['China', 'Japanese', 'Chinese', 'Hong Kong', 'the Shing Mun Redoubt', 'British', 'Hong Kong Island'];World War II;Japan;United Kingdom;;;2;Land;;No;;;
Kozludzha1774;Bulgaria;43.778645;23.7183933;545;Kozludzha;1774;['Russia', 'Turkey', 'Ottoman', 'Shumla'];Catherine the Great's 1st Turkish War;Russia;Ottoman Empire;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p92;;
Kozuki1577;Japan;34.9755465;134.3218271;545;Kozuki;1577;[];Japan's Era of the Warring States;Mori;Toyotomo Hideyoshhi;;;;Land;;Battle followed by massacre;;;
Krabbendam1799;Netherlands;52.7317551;4.6949375;Showalter, p510;Krabbendam;1799;;French Revolutionary Wars (2nd Coalition);United Kingdom;France, Netherlands;;;3;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p510;;
Krak de Chevaliers1271;Syria;34.7568;36.2947;546;Krak de Chevaliers;1271;['Crusader-Muslim', 'Syria'];Later Crusader-Muslim Wars;Mamlukes;Knights Hospitallier;;;;Land;;No;;;
Krasnik1914;Poland;50.9232831;22.2269571;546;Krasnik;1914;['Austrian', 'Poland', 'Lublin', 'Russian', 'Austrians', 'Russians'];World War I;Austria-Hungary;Russia;;;4;Land;;No;Clodfelter, Warfare and Armed Conflict, p409;1;
Krasnoye (1st)1812;Russia;54.5703093;31.442159;546;Krasnoye (1st);1812;['Napoleonic', 'Russian', 'Russia', 'Smolensk', 'Dnieper', 'Krasnoye', 'Russians', 'Russians'];Napoleonic Wars (Russian Campaign);France;Russia;;;3;Land;;No;The Field and the Forge, Landers, p321;;
Krasnoye (2nd)1812;Russia;59.7343847;30.084445;546;Krasnoye (2nd);1812;['Napoleonic', 'Russian', 'Moscow', 'Russians', 'French', 'Smolensk', 'Krasnoye', 'French', 'Berezina'];Napoleonic Wars (Russian Campaign);France;Russia;;;3;Land;;No;The Field and the Forge, Landers, p321;;
